Rank,Title,Link,Score,Episodes,Status,Studio,Producers,Type,Genres & Themes
45,Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.76,12,Finished Airing,MAPPA,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
46,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.76,24,Finished Airing,Wit Studio,Production I.G,Seinen,"Action, Adventure, Drama, Gore, Historical"
47,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.76,26,Finished Airing,Shaft,Aniplex,,"Comedy, Mystery, Romance, Supernatural, Vampire"
48,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.75,1,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Comedy, Drama, Romance, School"
49,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75,26,Finished Airing,Sunrise,Bandai Visual,,"Action, Award Winning, Sci-Fi, Adult Cast, Space"
50,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,8.74,1,Finished Airing,Toei Animation,Shueisha,Shounen,"Award Winning, Sports, School, Team Sports"
51,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,8.73,11,Finished Airing,LAN Studio,bilibili,,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel"
52,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.73,47,Finished Airing,Tokyo Movie Shinsha,Annapuru,Shounen,"Drama, Sports, Combat Sports"
53,Hibike! Euphonium 3,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,8.73,13,Finished Airing,Kyoto Animation,Lantis,,"Drama, Music, Performing Arts, School"
54,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.73,11,Finished Airing,ufotable,Aniplex,Shounen,"Action, Supernatural, Historical"
55,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,8.73,26,Finished Airing,Pierrot,Avex Pictures,Seinen,"Action, Historical, Military"
56,Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,8.73,13,Finished Airing,Pierrot,Avex Pictures,Seinen,"Action, Historical, Military"
57,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,8.72,10,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
58,One Piece,https://myanimelist.net/anime/21/One_Piece,8.72,1122,Currently Airing,Toei Animation,Fuji TV,Shounen,"Action, Adventure, Fantasy"
59,Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,8.71,12,Finished Airing,Bones,Shogakukan-Shueisha Productions,,"Action, Comedy, Supernatural"
60,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,8.71,12,Finished Airing,Studio Deen,Mainichi Broadcasting System,Josei,"Drama, Adult Cast, Historical, Love Polygon, Performing Arts"
61,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,8.71,12,Finished Airing,A-1 Pictures,Aniplex,,"Action, Drama, Sci-Fi, Mecha, Military"
62,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,8.70,13,Finished Airing,Pierrot,TV Tokyo,Shounen,"Action, Adventure, Supernatural"
63,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,8.70,25,Finished Airing,Sunrise,Bandai Visual,,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, School, Super Power"
64,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,8.70,4,Finished Airing,Studio Deen,Aniplex,Shounen,"Action, Drama, Romance, Adult Cast, Historical, Samurai"
65,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,8.69,10,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
66,Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,8.68,12,Finished Airing,B.CMAY PICTURES,Tencent Penguin Pictures,,"Action, Adventure, Drama, Fantasy, Mystery, Historical, Mythology, Reincarnation"
67,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,8.68,43,Finished Airing,Pierrot,Aniplex,Shounen,"Comedy, Delinquents, School, Workplace"
68,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,8.68,13,Finished Airing,Kyoto Animation,Lantis,,Drama
69,Tian Guan Cifu Er,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,8.67,12,Finished Airing,Red Dog Culture House,bilibili,,"Action, Adventure, Drama, Fantasy, Historical, Mythology"
70,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,8.67,26,Finished Airing,Madhouse,VAP,Shounen,"Sports, Combat Sports"
71,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,8.67,1,Finished Airing,Studio Ghibli,d-rights,,"Adventure, Award Winning, Drama, Fantasy, Romance"
72,Haikyuu!! Movie: Gomisuteba no Kessen,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,8.66,1,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
73,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,8.66,1,Finished Airing,Studio Ghibli,Tokuma Shoten,,"Action, Adventure, Award Winning, Fantasy"
74,Mushishi,https://myanimelist.net/anime/457/Mushishi,8.65,26,Finished Airing,Artland,Avex Entertainment,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
75,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8.65,12,Finished Airing,Studio Bind,Frontier Works,,"Adventure, Drama, Fantasy, Ecchi, Isekai, Reincarnation"
76,Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,8.65,13,Finished Airing,OLM,TV Tokyo,,"Award Winning, Drama, Mystery, Suspense, Adult Cast, Anthropomorphic, Organized Crime"
77,"""Oshi no Ko"" 2nd Season",https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,8.65,13,Finished Airing,Doga Kobo,Delfi Sound,Seinen,"Drama, Reincarnation, Showbiz"
78,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,8.65,1,Finished Airing,ufotable,Aniplex,,"Action, Fantasy, Urban Fantasy"
79,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,8.64,13,Finished Airing,Kinema Citrus,AT-X,,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore"
80,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,8.64,13,Finished Airing,Brain's Base,TV Tokyo,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
81,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,8.64,22,Finished Airing,A-1 Pictures,Aniplex,Shounen,"Drama, Romance, Love Polygon, Music, School"
82,Shiguang Dailiren II,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,8.63,12,Finished Airing,LAN Studio,bilibili,,"Drama, Mystery, Suspense, Adult Cast, Super Power, Time Travel"
83,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,8.63,12,Finished Airing,Wit Studio,Production I.G,Shounen,"Action, Drama, Suspense, Gore, Military, Survival"
84,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,8.63,27,Finished Airing,Gainax,TV Tokyo,,"Action, Adventure, Award Winning, Sci-Fi, Mecha"
85,Bungou Stray Dogs 5th Season,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,8.63,11,Finished Airing,Bones,WOWOW,Seinen,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Vampire"
86,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,8.63,12,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Comedy, Romance, School"
87,Made in Abyss: Retsujitsu no Ougonkyou,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,8.62,12,Finished Airing,Kinema Citrus,AT-X,,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore"
88,Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,8.62,11,Finished Airing,Tatsunoko Production,Aniplex,Seinen,"Award Winning, Drama, Sports"
89,Dandadan,https://myanimelist.net/anime/57334/Dandadan,8.62,12,Currently Airing,Science SARU,Aniplex,Shounen,"Action, Comedy, Supernatural"
90,Death Note,https://myanimelist.net/anime/1535/Death_Note,8.62,37,Finished Airing,Madhouse,VAP,Shounen,"Supernatural, Suspense, Psychological"
91,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,8.62,25,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
92,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,8.61,11,Finished Airing,Doga Kobo,Delfi Sound,Seinen,"Award Winning, Drama, Reincarnation, Showbiz"
93,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,8.61,10,Finished Airing,Trigger,CD Projekt Red,,"Action, Sci-Fi, Gore, Organized Crime"
94,Dungeon Meshi,https://myanimelist.net/anime/52701/Dungeon_Meshi,8.61,24,Finished Airing,Trigger,Ultra Super Pictures,Seinen,"Adventure, Comedy, Fantasy, Gourmet"
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,8.61,1,Finished Airing,Kinema Citrus,AT-X,,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Gore"
96,Natsume Yuujinchou Roku,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,8.61,11,Finished Airing,Shuka,TV Tokyo,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
97,Natsume Yuujinchou Shichi,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,8.60,12,Currently Airing,Shuka,TV Tokyo,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
98,Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,8.60,1,Finished Airing,Kyoto Animation,Kadokawa Shoten,,"Award Winning, Mystery, Sci-Fi, Supernatural, School"
99,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,8.60,25,Finished Airing,Madhouse,VAP,Shounen,"Sports, Combat Sports"
100,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,8.59,25,Finished Airing,OLM,VAP,Seinen,"Action, Adventure, Drama, Fantasy, Horror, Gore, Military"
101,Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,8.59,1,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
102,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,8.59,1,Finished Airing,CloverWorks,Aniplex,,"Drama, Romance, Supernatural, School"
103,Shin Evangelion Movie:||,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||,8.59,1,Finished Airing,Khara,add some,,"Action, Award Winning, Drama, Sci-Fi, Suspense, Mecha, Psychological"
104,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,8.58,1,Finished Airing,Gainax,Aniplex,,"Action, Sci-Fi, Mecha, Space, Super Power"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,8.58,39,Finished Airing,David Production,Warner Bros. Japan,Shounen,"Action, Adventure, Organized Crime, Super Power"
106,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,8.58,24,Finished Airing,MAPPA,Mainichi Broadcasting System,Shounen,"Action, Award Winning, Supernatural, School"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,8.57,1,Finished Airing,ufotable,Aniplex,Shounen,"Action, Supernatural, Historical"
108,Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,8.57,1,Finished Airing,Shaft,Aniplex,,"Action, Mystery, Supernatural, Vampire"
109,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,8.57,13,Finished Airing,Brain's Base,Aniplex,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
110,Doupo Cangqiong: San Nian Zhi Yue,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue,8.57,13,Finished Airing,Motion Magic,Tencent Penguin Pictures,,"Action, Fantasy, Martial Arts"
111,Kimi ni Todoke 3rd Season,https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season,8.56,5,Finished Airing,Production I.G,Sound Team Don Juan,Shoujo,"Drama, Romance, School"
112,Nana,https://myanimelist.net/anime/877/Nana,8.56,47,Finished Airing,Madhouse,VAP,Shoujo,"Drama, Romance, Adult Cast, Love Polygon, Music"
113,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,8.56,11,Finished Airing,Shuka,TV Tokyo,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
114,Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,8.56,1,Finished Airing,Studio Chizu,Madhouse,,"Award Winning, Slice of Life, Supernatural, Childcare"
115,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,8.56,11,Finished Airing,Madhouse,Dentsu,,"Award Winning, Comedy, Mystery, Romance, Suspense, Adult Cast, Psychological, Time Travel"
116,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,8.55,25,Finished Airing,Wit Studio,Production I.G,Shounen,"Action, Award Winning, Drama, Suspense, Gore, Military, Survival"
117,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,8.55,1,Finished Airing,Gainax,TV Tokyo,,"Action, Avant Garde, Drama, Sci-Fi, Suspense, Mecha, Psychological"
118,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,8.55,13,Finished Airing,Studio Deen,Starchild Records,Josei,"Drama, Historical, Love Polygon, Performing Arts"
119,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,8.55,101,Finished Airing,Toei Animation,TV Asahi,Shounen,"Sports, School, Team Sports"
120,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,8.55,12,Finished Airing,Production I.G,Dentsu,Shounen,"Sports, School, Team Sports"
121,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,8.55,1,Finished Airing,Studio VOLN,Aniplex,,"Drama, Romance, School"
122,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,8.55,1,Finished Airing,Madhouse,Rex Entertainment,,"Avant Garde, Award Winning, Drama, Horror, Suspense, Adult Cast, Psychological, Showbiz"
123,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,8.54,14,Finished Airing,David Production,Warner Bros. Japan,Shounen,"Action, Adventure, Super Power"
124,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,8.54,13,Finished Airing,Brain's Base,Aniplex,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
125,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,8.54,12,Finished Airing,ufotable,Aniplex,,"Action, Fantasy, Urban Fantasy"
126,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,8.54,25,Finished Airing,TMS Entertainment,TV Tokyo,Shoujo,"Drama, Romance, Supernatural, School"
127,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,8.53,1,Finished Airing,Artland,Aniplex,Seinen,"Adventure, Mystery, Slice of Life, Supernatural, Adult Cast, Historical, Iyashikei"
128,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,8.53,23,Finished Airing,White Fox,Frontier Works,,"Drama, Sci-Fi, Suspense, Time Travel"
