Rank,Title,Link,Score,Episodes,Status,Studio,Producers,Type,Genres & Themes
256,Uchuu Senkan Yamato 2199,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199,8.32,26,Finished Airing,Xebec,Production I.G,,"Action, Drama, Sci-Fi, Adult Cast, Military, Space"
257,Violet Evergarden: Recollections,https://myanimelist.net/anime/53672/Violet_Evergarden__Recollections,8.32,1,Finished Airing,Kyoto Animation,add some,,Drama
258,86,https://myanimelist.net/anime/41457/86,8.31,11,Finished Airing,A-1 Pictures,Aniplex,,"Action, Drama, Sci-Fi, Mecha, Military"
259,Ashita no Joe,https://myanimelist.net/anime/2402/Ashita_no_Joe,8.31,79,Finished Airing,Mushi Production,Fuji TV,Shounen,"Drama, Sports, Combat Sports"
260,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,https://myanimelist.net/anime/42886/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Gekitotsu,8.31,12,Finished Airing,Production I.G,Shochiku,,"Drama, Sci-Fi, Adult Cast, Military, Space"
261,Given,https://myanimelist.net/anime/39533/Given,8.31,11,Finished Airing,Lerche,Aniplex,,"Boys Love, Drama, Music, School"
262,Hunter x Hunter: Original Video Animation,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation,8.31,8,Finished Airing,Nippon Animation,add some,Shounen,"Action, Adventure, Fantasy"
263,Kaijuu 8-gou,https://myanimelist.net/anime/52588/Kaijuu_8-gou,8.31,12,Finished Airing,Production I.G,TV Tokyo,Shounen,"Action, Sci-Fi, Adult Cast, Military"
264,Major S6,https://myanimelist.net/anime/7655/Major_S6,8.31,25,Finished Airing,SynergySP,Shogakukan-Shueisha Productions,Shounen,"Sports, Team Sports"
265,Natsume Yuujinchou Go Specials,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials,8.31,2,Finished Airing,Shuka,add some,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
266,NHK ni Youkoso!,https://myanimelist.net/anime/1210/NHK_ni_Youkoso,8.31,24,Finished Airing,Gonzo,Victor Entertainment,,"Comedy, Drama, Romance, Suspense, Adult Cast, Otaku Culture, Psychological"
267,Ookami to Koushinryou II,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,8.31,12,Finished Airing,Brain's Base,Imagin,,"Adventure, Drama, Romance, Supernatural, Adult Cast"
268,Romeo no Aoi Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora,8.31,33,Finished Airing,Nippon Animation,add some,,"Adventure, Drama, Historical"
269,Sasaki to Miyano Movie: Sotsugyou-hen,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen,8.31,1,Finished Airing,Studio Deen,Frontier Works,,"Boys Love, Otaku Culture, School"
270,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,https://myanimelist.net/anime/54870/Seishun_Buta_Yarou_wa_Randoseru_Girl_no_Yume_wo_Minai,8.31,1,Finished Airing,CloverWorks,Aniplex,,"Drama, Romance, Supernatural, School"
271,Katanagatari,https://myanimelist.net/anime/6594/Katanagatari,8.30,12,Finished Airing,White Fox,Aniplex,,"Action, Adventure, Romance, Historical, Martial Arts"
272,Kemono no Souja Erin,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin,8.30,50,Finished Airing,Production I.G,NHK,,"Drama, Fantasy"
273,Kingdom 2nd Season,https://myanimelist.net/anime/17389/Kingdom_2nd_Season,8.30,39,Finished Airing,Pierrot,NHK,Seinen,"Action, Historical, Military"
274,Luo Xiao Hei Zhan Ji (Movie),https://myanimelist.net/anime/40211/Luo_Xiao_Hei_Zhan_Ji_Movie,8.30,1,Finished Airing,HMCH,add some,,"Adventure, Drama, Fantasy"
275,Natsume Yuujinchou,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,8.30,13,Finished Airing,Brain's Base,TV Tokyo,Shoujo,"Slice of Life, Supernatural, Iyashikei, Mythology"
276,Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,8.30,12,Finished Airing,A-1 Pictures,Aniplex,Seinen,"Mystery, Suspense, Psychological, Time Travel"
277,Diamond no Ace: Second Season,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season,8.30,51,Finished Airing,Production I.G,TV Tokyo,Shounen,"Sports, School, Team Sports"
278,Evangelion Movie 2: Ha,https://myanimelist.net/anime/3784/Evangelion_Movie_2__Ha,8.30,1,Finished Airing,Khara,add some,,"Action, Drama, Sci-Fi, Suspense, Mecha, Psychological"
279,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,https://myanimelist.net/anime/51805/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Sakubou,8.30,12,Finished Airing,Production I.G,Shochiku,,"Drama, Sci-Fi, Adult Cast, Military, Space"
280,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,8.29,11,Finished Airing,A-1 Pictures,Aniplex,,"Drama, Supernatural"
281,Beck,https://myanimelist.net/anime/57/Beck,8.29,26,Finished Airing,Madhouse,Marvelous Entertainment,Shounen,"Drama, Music"
282,Initial D Final Stage,https://myanimelist.net/anime/22507/Initial_D_Final_Stage,8.29,4,Finished Airing,SynergySP,Avex Entertainment,Seinen,Racing
283,Steins;Gate: Oukoubakko no Poriomania,https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania,8.29,1,Finished Airing,White Fox,Frontier Works,,"Comedy, Sci-Fi, Time Travel"
284,Tunshi Xingkong 2nd Season,https://myanimelist.net/anime/49571/Tunshi_Xingkong_2nd_Season,8.29,26,Finished Airing,Sparkly Key Animation Studio,Tencent Animation & Comics,,"Action, Adventure, Fantasy, Sci-Fi, Martial Arts"
285,Kuroko no Basket 3rd Season,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season,8.29,25,Finished Airing,Production I.G,Bandai Visual,Shounen,"Sports, School, Team Sports"
286,Meitantei Conan Movie 06: Baker Street no Bourei,https://myanimelist.net/anime/1365/Meitantei_Conan_Movie_06__Baker_Street_no_Bourei,8.29,1,Finished Airing,TMS Entertainment,add some,Shounen,"Adventure, Mystery, Detective"
287,Sakamichi no Apollon,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon,8.29,12,Finished Airing,Tezuka Productions,Dentsu,Josei,"Drama, Romance, Historical, Love Polygon, Music, School"
288,Kino no Tabi: The Beautiful World,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World,8.28,13,Finished Airing,A.C.G.T.,WOWOW,,"Adventure, Drama, Fantasy"
289,Major: World Series,https://myanimelist.net/anime/11917/Major__World_Series,8.28,2,Finished Airing,SynergySP,add some,Shounen,"Sports, Team Sports"
290,Redline,https://myanimelist.net/anime/6675/Redline,8.28,1,Finished Airing,Madhouse,Tohokushinsha Film Corporation,,"Action, Sci-Fi, Adult Cast, Racing"
291,Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,8.28,94,Finished Airing,Gallop,Aniplex,Shounen,"Action, Comedy, Romance, Historical, Samurai"
292,Doukyuusei,https://myanimelist.net/anime/30346/Doukyuusei,8.28,1,Finished Airing,A-1 Pictures,Aniplex,,"Boys Love, School"
293,Gintama: Shinyaku Benizakura-hen,https://myanimelist.net/anime/9735/Gintama__Shinyaku_Benizakura-hen,8.28,1,Finished Airing,Sunrise,add some,Shounen,"Action, Comedy, Sci-Fi, Historical, Parody, Samurai"
294,Suzume no Tojimari,https://myanimelist.net/anime/50594/Suzume_no_Tojimari,8.28,1,Finished Airing,CoMix Wave Films,Aniplex,,"Adventure, Supernatural, Mythology"
295,Tokyo Godfathers,https://myanimelist.net/anime/759/Tokyo_Godfathers,8.28,1,Finished Airing,Madhouse,Dentsu,,"Award Winning, Comedy, Drama, Childcare"
296,Yuukoku no Moriarty Part 2,https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2,8.28,13,Finished Airing,Production I.G,Mainichi Broadcasting System,Shounen,"Mystery, Suspense, Adult Cast, Historical, Organized Crime, Psychological"
297,Shirobako,https://myanimelist.net/anime/25835/Shirobako,8.27,24,Finished Airing,P.A. Works,Sotsu,,"Award Winning, Comedy, Drama, Adult Cast, Otaku Culture, Workplace"
298,Tenki no Ko,https://myanimelist.net/anime/38826/Tenki_no_Ko,8.27,1,Finished Airing,CoMix Wave Films,TOHO,,"Award Winning, Drama, Romance, Supernatural"
299,Yuru Camp△,https://myanimelist.net/anime/34798/Yuru_Camp△,8.27,12,Finished Airing,C-Station,Sotsu,,"Slice of Life, CGDCT, Iyashikei"
300,Kage no Jitsuryokusha ni Naritakute!,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute,8.27,20,Finished Airing,Nexus,AT-X,,"Action, Comedy, Fantasy, Isekai, Reincarnation"
